car_id,duration_in_lane
1,2.36988616
2,2.393162966
3,0.892469883
4,0.51673007
5,3.89E-05
6,0.308722973
7,2.00E-05
8,6.99E-05
9,5.10E-05
10,2.60E-05
11,3.41E-05
12,2.31E-05
13,4.51E-05
14,5.10E-05
15,5.39E-05
16,4.89E-05
17,8.39E-05
18,5.29E-05
19,6.82E-05
20,3.41E-05
21,2.69E-05
22,3.29E-05
23,4.48E-05
24,3.10E-05
25,3.48E-05
26,4.10E-05
27,0.237540007
28,5.51E-05
29,3.79E-05
30,3.19E-05
31,3.31E-05
32,3.10E-05
33,4.72E-05
34,4.29E-05
35,0.100586176
36,3.31E-05
37,2.81E-05
38,4.29E-05
39,0.135432959
40,3.19E-05
41,3.70E-05
42,3.91E-05
43,5.70E-05
44,5.70E-05
45,4.29E-05
46,5.39E-05
47,4.60E-05
48,3.00E-05
49,5.91E-05
50,5.32E-05
51,0.1325562
52,6.79E-05
53,0.017680883
54,2.50E-05
55,4.22E-05
56,4.22E-05
57,5.91E-05
58,3.31E-05
59,62.99641919
60,62.92168188
61,62.46732402
62,61.857126
63,60.73009706
64,59.46732187
65,58.86337495
66,57.37940407
67,55.97983503
68,55.34892607
69,55.32473707
70,55.37898111
71,54.12789893
72,52.83665919
73,52.20867896
74,51.10238004
75,49.69890308
76,50.10303998
77,50.21183205
78,50.59593892
79,50.84860921
80,50.53695512
81,49.04627705
82,49.07570195
83,48.02743006
84,47.14178491
85,46.42384696
86,46.55815792
87,46.34823489
88,46.58444905
89,45.28958702
90,45.72718406
91,45.48275304
92,45.66553593
93,45.02035999
94,43.53324389
95,43.26287603
96,42.00275397
97,40.54997396
98,39.12102103
99,38.9975059
100,39.33407712
101,37.87003589
102,36.37888312
103,36.54154706
104,35.56838512
105,34.54531598
106,35.03273416
107,34.77974701
108,34.06862497
109,32.719239
110,31.97965097
111,31.13893294
112,30.86364007
113,31.07414699
114,31.53783798
115,31.35003901
116,31.09361386
117,31.25635004
118,31.75413084
119,31.32231808
120,31.75361609
121,30.74998403
122,30.84319305
123,30.48986292
124,29.94604182
125,28.83950019
126,28.77602506
127,27.38852191
128,26.03143001
129,26.37105489
130,25.87280202
131,25.75538301
132,26.05658984
133,24.69517112
134,25.14921498
135,24.45038295
136,24.87302399
137,23.710464
138,23.69952321
139,23.23784304
140,22.07176995
141,22.37787294
142,22.78694201
143,22.94555497
144,22.24365902
145,21.52219296
146,21.39399791
147,21.56088805
148,21.12423992
149,20.61247802
150,20.46876717
151,19.02480602
152,18.46022201
153,17.00910378
154,16.95636702
155,16.62481689
156,16.10540318
157,15.82326794
158,14.63132977
159,14.12908602
160,14.56123996
161,13.28509593
162,12.43584394
163,11.05150199
164,10.03874207
165,8.983150959
166,7.899399996
167,7.216659069
168,7.526798964
169,7.299983025
170,6.755573034
171,6.118976831
172,6.276848793
173,6.210538149
174,5.027735949
175,3.944936991
176,3.130668879
177,2.830519915
178,2.684091806
179,68.39795017
180,68.59688115
181,68.41035008
182,68.25909114
183,67.06413007
184,66.33750892
185,66.34346199
186,64.95889711
187,64.23129702
188,63.34830308
189,63.35989404
190,63.86038399
191,64.05641103
192,63.97443104
193,63.707165
194,64.0206151
195,63.35048604
196,63.35166287
197,62.7591269
198,62.06296396
199,61.47838497
200,61.39084005
201,59.95713592
202,60.02233815
203,59.59472299
204,59.52262402
205,59.55297399
206,59.9890492
207,60.08231306
